SNo,Name,District,Population,Area,Mayor
1,Akko,North,"46,300",13.533,Shimon Lancry
2,Afula,North,"40,500",26.909,Avi Elkabetz
3,Arad,South,"23,400",93.14,Tali Ploskov
4,Ariel,Judea & Samaria,"17,600",14.677,Eliyahu Shaviro
5,Ashdod,South,"2,06,400",47.242,Yehiel Lasri
6,Ashkelon,South,"1,11,900",47.788,Benny Vaknin
8,Bat Yam,Tel Aviv,"1,30,000",8.167,Shlomo Lahiani
9,Beersheba,South,"1,97,300",52.903,Rubik Danilovich
10,Beit She'an,North,"16,900",7.33,Jacky Levi
11,Beit Shemesh,Jerusalem,"77,100",34.259,Moshe Abutbul
12,Beitar Illit,Judea & Samaria,"35,000",6.801,Meir Rubenstein
13,Bnei Brak,Tel Aviv,"1,54,400",7.088,Ya'akov Asher
14,Dimona,South,"32,400",29.877,Meir Cohen
15,Eilat,South,"47,400",84.789,Meir Yitzhak Halevi
16,El'ad,Center,"36,300",2.756,Yitzhak Idan
17,Giv'atayim,Tel Aviv,"53,000",3.246,Ran Kunik
18,Giv'at Shmuel,Center,"21,800",2.579,Yossi Brodny
19,Hadera,Haifa,"80,200",49.359,Haim Avitan
20,Haifa,Haifa,"2,65,600",63.666,Yona Yahav
21,Herzliya,Tel Aviv,"87,000",21.585,Yehonatan Yassur
22,Hod HaSharon,Center,"47,200",21.585,Hai Adiv
23,Holon,Tel Aviv,"1,84,700",18.927,Moti Sasson
24,Jerusalem,Jerusalem,"8,15,600",125.156,Nir Barkat
25,Karmiel,North,"44,100",19.188,Adi Eldar
26,Kafr Qasim,Center,"18,800",8.745,Sami Issa
27,Kfar Saba,Center,"83,600",14.169,Yehuda Ben-Hemo
28,Kiryat Ata,Haifa,"50,700",16.706,Ya'akov Peretz
29,Kiryat Bialik,Haifa,"37,300",8.178,Eli Dokursky
30,Kiryat Gat,South,"47,400",16.302,Aviram Dahari
31,Kiryat Malakhi,South,"20,600",4.632,Motti Malka
32,Kiryat Motzkin,Haifa,"38,000",3.778,Haim Zuri
33,Kiryat Ono,Tel Aviv,"31,000",4.112,Yossi Nishri
34,Kiryat Shmona,North,"23,100",14.228,Nissim Malka
35,Kiryat Yam,Haifa,"37,700",4.339,Shmuel Sisso
36,Lod,Center,"69,800",12.226,Ilan Harari
37,Ma'ale Adumim,Judea & Samaria,"34,300",49.177,Benny Kashriel
38,Ma'alot-Tarshiha,North,"20,600",6.832,Shlomo Bohbot
39,Migdal HaEmek,North,"23,900",7.637,Eliyahu Barda
40,Modi'in,Judea & Samaria,"46,200",4.746,Ya'akov Gutterman
41,Modi'in-Maccabim-Re'ut,Center,"72,700",50.176,Haim Beebas
42,Nahariya,North,"51,200",10.233,Jacky Sabag
43,Nazareth,North,"72,200",14.123,Ali Salam
44,Nazareth Illit,North,"40,800",32.521,Shimon Gapso
45,Nesher,Haifa,"23,600",12.79,David Amar
46,Ness Ziona,Center,"38,100",15.579,Yossi Shvo
47,Netanya,Center,"1,83,200",28.954,Miriam Feirberg
48,Netivot,South,"26,700",5.626,Yehiel Zohar
49,Ofakim,South,"24,000",10.273,Zvika Greengold
50,Or Akiva,Haifa,"16,100",3.539,Simha Yosipov
51,Or Yehuda,Tel Aviv,"34,400",5.141,David Yosef
52,Petah Tikva,Center,"2,09,600",35.868,Uri Ohad
54,Ra'anana,Center,"68,300",14.878,Nahum Hofree
55,Rahat,South,"51,700",19.586,Talal al-Krenawi
56,Ramat Gan,Tel Aviv,"1,45,000",13.229,Yisrael Zinger
57,Ramat HaSharon,Tel Aviv,"40,600",16.792,Yitzhak Rochberger
58,Ramla,Center,"65,800",11.854,Yoel Lavi
59,Rehovot,Center,"1,12,700",23.041,Rahamim Malul
60,Rishon LeZion,Center,"2,28,200",58.704,Dov Tzur
61,Rosh HaAyin,Center,"38,500",24.39,Moshe Sinai
62,Safed,North,"29,500",29.248,Ilan Shohat
63,Sakhnin,North,"25,700",9.816,Mazen Ghnaim
64,Sderot,South,"23,700",4.472,David Buskila
65,Shfar'am,North,"36,200",19.766,Nahed Khazem
66,Tamra,North,"28,700",29.259,Abu el-Hija Adel
67,Tayibe,Center,"36,500",18.662,Hemi Doron
68,Tel Aviv,Tel Aviv,"4,03,700",51.788,Ron Huldai
69,Tiberias,North,"41,300",10.872,Zohar Oved
70,Tira,Center,"22,600",11.894,Mamoun Abd al-Hay
71,Tirat Carmel,Haifa,"18,600",5.601,Aryeh Tal
73,Yavne,Center,"33,000",10.7,Zvi Gov-Ari
74,Yehud,Center,"26,500",5.014,Yossi Ben-David
75,Yokneam,North,"19,100",7.39,Simon Alfasi
